"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil";"fantastico";;"MALEFICENT - SIGNORA DEL MALE";"Joachim Rønning";"2019";"https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male";"http://www.semanticweb.org/facilitiesEventsOntology/MALEFICENT%20-%20SIGNORA%20DEL%20MALE/Joachim%20R%C3%B8nning/2019/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
;"drammatico";"138 min";"V.O. MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/V.O.%20MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
"Frozen II";"animazione";"103 min";"V.O. FROZEN II";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/V.O.%20FROZEN%20II/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"海獣の子供";"animazione";;"I FIGLI DEL MARE (KAIJU NO KODOMO)";"Ayumu Watanabe";"2019";"https://it.wikipedia.org/wiki/I_figli_del_mare";"http://www.semanticweb.org/facilitiesEventsOntology/I%20FIGLI%20DEL%20MARE%20%28KAIJU%20NO%20KODOMO%29/Ayumu%20Watanabe/2019/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
"海獣の子供";"animazione";;"I FIGLI DEL MARE (KAIJU NO KODOMO)";"Ayumu Watanabe";"2019";"https://it.wikipedia.org/wiki/I_figli_del_mare";"http://www.semanticweb.org/facilitiesEventsOntology/I%20FIGLI%20DEL%20MARE%20%28KAIJU%20NO%20KODOMO%29/Ayumu%20Watanabe/2019/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
"海獣の子供";"animazione";;"I FIGLI DEL MARE (KAIJU NO KODOMO)";"Ayumu Watanabe";"2019";"https://it.wikipedia.org/wiki/I_figli_del_mare";"http://www.semanticweb.org/facilitiesEventsOntology/I%20FIGLI%20DEL%20MARE%20%28KAIJU%20NO%20KODOMO%29/Ayumu%20Watanabe/2019/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
"海獣の子供";"animazione";;"I FIGLI DEL MARE (KAIJU NO KODOMO)";"Ayumu Watanabe";"2019";"https://it.wikipedia.org/wiki/I_figli_del_mare";"http://www.semanticweb.org/facilitiesEventsOntology/I%20FIGLI%20DEL%20MARE%20%28KAIJU%20NO%20KODOMO%29/Ayumu%20Watanabe/2019/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
;;"Durata: 83";"WESTERN STARS";;;"False";"http://www.semanticweb.org/facilitiesEventsOntology/WESTERN%20STARS/_/_/_"
;;"Durata: 83";"WESTERN STARS";;;"False";"http://www.semanticweb.org/facilitiesEventsOntology/WESTERN%20STARS/_/_/_"
